date,latitude,longitude
20200409,14,-91
20200911,-17,67
20200220,-22,-175
20201025,-3,150
20200121,14,-91
20201006,-5,145
20200427,4,127
20201220,-25,-176
20210204,-2,139
20200918,16,-94
20200528,12,-88
20200426,-2,139
20200220,9,-83
20210202,-12,166
20200331,-32,-69
20200713,-23,-175
20201121,11,92
20210102,16,-47
20201008,8,-83
20201214,9,-83
20200423,-10,160
20201115,-53,27
20200108,-45,-78
20210109,32,105
20200801,5,95
20200117,19,-66
20200101,-61,-24
20200821,6,-83
20200614,-18,-174
20201019,43,134
20210122,46,151
20200925,9,-83
20200212,-7,129
20201101,-27,-176
20200712,30,68
20200107,-63,172
20200831,2,-95
20210125,-20,-175
20200725,-49,165
20200522,-37,178
20200622,2,-95
20210110,-40,-92
20200703,-15,-173
20200604,-14,-70
20200810,-30,-178
20210203,-31,-65
20200323,2,-95
20200915,-40,-92
20200105,2,-95
20200423,2,-95
20200910,4,127
20200729,-36,178
20200324,-27,27
20200622,-21,-176
20200306,4,127
20200911,4,127
20200501,-55,-130
20200412,4,127
20201110,4,127
20201024,26,67
20200830,-46,96
20210209,4,126
20210205,-33,180
20200302,4,127
20200409,4,127
20200505,-2,139
20200330,-1,133
20200922,-2,139
20200503,-23,-175
20200311,-23,-175
20201203,-23,-175
20200908,-59,-25
20200801,-18,167
20200710,-21,-179
20201227,43,144
20210106,-23,-175
20201021,6,127
20200324,-23,-175
20200204,-15,66
20200309,-23,-175
20201031,-38,177
20200901,-49,127
20210214,-23,-175
20201223,-34,-179
20200803,-13,-15
20200415,-13,-15
20200612,-13,-15
20210227,-5,152
20200612,26,128
20201216,-13,-15
20200905,-23,-175
20200322,10,58
20200915,-48,100
20200628,5,94
20210214,-5,152
20200110,14,-45
20200206,-15,-174
20200803,5,94
20201206,-24,-176
20200425,-62,156
20200610,1,99
20200204,-17,-172
20200505,12,144
20210206,-27,73
20210111,-23,-175
20201105,27,127
20200607,-6,-81
20200120,-7,-12
20201129,-7,-13
20200105,61,-138
20200122,-7,106
20200414,-13,-15
20201028,-19,-69
20201025,17,-101
20200824,-24,180
20201130,-1,133
20201001,19,-107
20200902,53,-170
20210202,-23,-175
20201119,-3,140
20200120,-62,165
20201129,-23,-175
20200921,56,-152
20200223,56,-153
20200128,52,-178
20200803,52,-178
20210101,57,-153
20200315,-7,155
20200730,-16,-173
20200827,-2,139
20200803,4,127
20200720,18,146
20200504,15,124
20201217,-4,101
20201122,34,82
20200927,-6,102
20200907,-4,144
20201103,2,-98
20200207,-62,160
20200228,-4,144
20200108,-8,130
20200912,-60,-26
20200403,-28,-67
20200314,-31,-179
20200209,-23,-175
20200630,-56,-28
20200220,-3,127
20200508,-63,155
20200728,5,127
20200612,-23,-175
20200210,14,-90
20200824,32,131
20200616,-5,69
20201022,-22,-175
20201212,-9,124
20200530,-22,-175
20201212,42,13
20201006,48,155
20200218,42,13
20201104,38,-17
20200320,46,152
20200515,-7,129
20210219,42,13
20201117,-58,-6
20201102,46,152
20200317,8,-38
20201020,46,152
20201210,4,127
20200720,-22,171
20201105,27,71
20201228,42,13
20201208,6,94
20200630,4,127
20200312,-61,-50
20210220,43,13
20201016,-9,160
20201221,-18,66
20210211,-3,128
20200823,-3,149
20200720,-60,-26
20200206,4,125
20200818,18,-102
20210302,2,122
20200521,43,13
20200401,-18,-179
20201022,-7,125
20210301,19,-155
20210225,-16,-178
20200717,-30,-178
20200508,7,124
20200508,49,155
20200712,-16,-178
20200909,12,58
20200218,27,130
20200602,-63,-158
20200518,-18,66
20200904,-4,-105
20201219,81,-108
20200612,-4,-105
20200108,-3,100
20200117,-6,154
20201015,-2,134
20200813,-3,100
20200417,34,70
20200921,-12,65
20200715,44,-129
20200110,-6,154
20201105,-60,-27
20200727,-3,100
20210108,55,166
20200515,-60,-27
20210109,-60,-27
20200426,34,70
20201216,-3,100
20200117,46,152
20200608,15,144
20200813,-50,126
