month,latitude,longitude,depth,mag,mag_avg
9,0,30,20,5.9,1
9,0,30,10,6.5,1
9,-20,-170,30,5.7,1
9,30,100,20,5.6,1
9,20,150,420,6.6,1
9,50,-130,20,5.6,1
10,50,-170,40,6,1
10,-40,-90,20,6,1
10,-10,100,30,5.8,1
10,-10,160,40,5.9,1
10,50,110,20,5.7,1
10,60,-30,20,5.7,1
10,-10,130,40,6.7,1
10,60,-30,20,5.6,1
10,40,130,610,6.8,1
10,10,90,60,5.9,1
10,60,160,40,6.4,1
10,60,-40,20,5.7,1
10,50,-170,40,6.5,1
10,-40,-70,30,5.8,1
10,20,-90,40,5.7,1
10,-10,170,20,6,1
10,-10,160,70,6.3,1
10,40,140,30,6.1,1
10,70,-10,20,5.9,1
10,-20,-170,40,5.7,1
10,-20,-70,40,6.2,1
11,-10,-10,20,5.7,1
11,-40,-80,20,7.4,1
11,-10,170,20,6.3,1
11,40,20,20,6,1
11,-30,-180,30,6.3,1
11,50,-170,40,5.9,1
11,50,160,30,6.2,1
11,-20,-70,40,6.2,1
11,30,100,30,6.3,1
11,-60,-30,20,6.4,1
11,40,20,30,5.6,1
11,50,-170,20,6.8,1
11,-10,-80,20,7.6,1
11,-40,-80,20,6.2,1
11,-20,-170,20,6,1
11,-40,50,20,6.1,1
11,-30,-180,30,6.6,1
11,-20,-180,50,5.9,1
11,-30,-180,30,7.2,1
11,-10,150,70,6.1,1
11,-40,-80,20,6,1
12,50,-130,20,6.2,1
12,-30,-70,40,7.3,1
12,40,110,20,6.8,1
12,40,100,20,5.7,1
12,-20,-70,50,6.1,1
12,10,-80,40,6.2,1
12,-20,170,70,6.1,1
12,40,80,20,5.7,1
12,30,140,20,6.1,1
12,-50,160,20,6.8,1
12,-10,170,30,6,1
12,0,130,70,6.3,1
12,10,130,40,5.8,1
12,10,90,20,5.7,1
12,-30,-180,20,5.7,1
12,40,-130,20,5.9,1
12,-50,-80,30,6.3,1
12,-40,-80,20,6,1
1,50,-180,30,6.5,1
1,-20,170,40,6.6,1
1,-20,170,40,6.6,1
1,50,160,60,6.6,1
1,50,-170,20,6.1,1
1,50,-160,20,6,1
1,40,140,30,6.2,1
1,40,140,30,7.2,1
1,40,140,30,6.7,1
1,40,140,30,6.3,1
1,40,140,30,7,1
1,-20,170,20,5.8,1
1,50,160,60,5.9,1
1,60,-150,20,6,1
1,-10,170,20,6.8,1
1,-20,170,40,5.6,1
1,-20,170,40,6.4,1
1,-20,170,20,6.1,1
1,40,-120,10,5.05,0
1,60,-150,30,6.1,1
2,40,-120,10,5.1,0
2,40,-120,10,5.3,0
2,20,120,40,6.1,1
2,10,-80,40,5.8,1
2,-40,80,20,5.9,1
2,-10,160,50,6.5,1
2,-30,-180,60,6.1,1
2,-30,-180,60,6.1,1
2,40,150,30,6.3,1
2,40,150,40,6.9,1
2,40,150,30,5.9,1
2,-20,-180,30,6.1,1
2,40,150,40,5.6,1
2,40,150,50,6,1
2,40,150,30,6.1,1
2,40,150,30,5.8,1
2,0,-20,10,5.6,1
2,-30,-180,60,5.8,1
2,40,140,20,6.2,1
2,40,30,40,5.4,1
2,-20,-180,40,5.6,1
2,30,130,40,7.5,1
2,-30,-110,20,6,1
3,-20,170,40,5.8,1
3,-10,160,50,5.7,1
3,-30,-180,30,7,1
3,-40,80,20,6.1,1
3,10,-40,20,5.8,1
3,50,160,60,6.1,1
3,10,40,20,6.2,1
3,-30,-180,30,5.8,1
3,20,-110,30,5.9,1
3,0,150,30,6.1,1
3,-10,120,50,6.5,1
3,-10,120,40,6,1
3,-20,-180,40,5.9,1
3,-20,-180,20,5.7,1
3,-50,160,20,6.7,1
3,-20,170,20,5.9,1
3,-20,-180,30,6.4,1
3,10,-90,60,5.9,1
3,-20,170,40,5.6,1
3,40,140,40,5.9,1
3,50,-180,50,6.1,1
3,-20,-170,20,5.9,1
4,40,80,20,6.8,1
4,40,80,20,6.3,1
4,30,60,20,5.6,1
4,40,80,30,5.8,1
4,40,70,30,5.7,1
4,60,160,20,5.7,1
4,-40,-70,30,6.2,1
4,40,-120,10,5.9,1
4,20,120,40,6.9,1
4,10,-90,70,6,1
4,40,80,40,7,1
4,50,150,40,5.9,1
4,50,150,40,5.6,1
4,40,150,50,5.8,1
4,-20,-170,30,5.8,1
4,50,160,40,6,1
4,50,150,30,6.7,1
4,30,130,20,6,1
4,50,150,30,6,1
4,-30,-180,40,5.8,1
4,50,150,30,5.9,1
4,50,150,30,5.6,1
4,50,150,40,6,1
4,70,-10,20,5.7,1
4,40,-130,10,5.9,1
4,50,150,40,5.9,1
4,50,-30,20,5.7,1
4,-20,-170,20,5.9,1
5,-30,-180,30,6.3,1
5,-30,-180,30,5.9,1
5,-20,170,30,5.7,1
5,0,-20,20,5.8,1
5,40,130,20,5.6,1
5,-10,160,60,6.2,1
5,-30,-70,40,5.8,1
5,-40,-70,30,6.1,1
5,-30,-180,30,5.7,1
5,30,130,30,6,1
5,-30,-180,20,5.7,1
5,50,170,30,6.1,1
5,20,120,40,5.9,1
5,-20,-170,30,6,1
5,-20,-180,70,6.1,1
5,40,30,40,6.4,1
5,10,-90,100,6.2,1
5,-10,150,50,6,1
5,30,-110,20,6,1
6,10,40,30,6.2,1
6,10,40,20,6,1
6,10,40,20,5.6,1
6,10,40,20,5.9,1
6,60,170,30,5.9,1
6,10,40,20,5.4,1
6,30,80,20,6.2,1
6,-10,-10,20,5.8,1
6,10,-100,20,5.8,1
6,-20,-110,20,5.9,1
6,30,60,20,5.7,1
6,30,100,20,5.6,1
6,30,60,20,6.4,1
6,30,60,20,5.6,1
6,20,110,40,5.7,1
6,10,40,20,5.7,1
6,50,150,30,5.7,1
6,-40,-80,20,5.8,1
6,40,140,40,6,1
6,10,120,30,6,1
6,40,140,30,5.7,1
6,10,40,20,5.6,1
6,40,-130,20,5.9,1
6,0,100,20,5.7,1
6,20,140,20,5.8,1
6,50,180,30,5.8,1
6,30,100,20,6.1,1
6,-10,170,20,6,1
7,-20,170,30,6.6,1
7,-10,-10,20,5.6,1
7,-20,170,40,5.8,1
7,-10,150,50,6.5,1
7,-20,170,40,5.9,1
7,-20,170,40,6.2,1
7,-20,170,40,5.8,1
7,-20,170,40,6.1,1
7,10,90,50,6,1
7,20,120,30,5.9,1
7,10,120,30,5.9,1
7,-20,170,20,5.8,1
7,40,140,20,5.8,1
7,30,130,30,7,1
7,30,130,20,5.8,1
7,30,130,20,5.7,1
